iter	Passed	Remaining
0	149	149111
1	155	77504
2	161	53679
3	169	42102
4	177	35244
5	184	30606
6	192	27349
7	197	24503
8	203	22353
9	206	20405
10	210	18934
11	217	17875
12	221	16830
13	228	16059
14	231	15175
15	233	14389
16	237	13706
17	240	13095
18	243	12559
19	246	12059
20	248	11607
21	251	11190
22	254	10808
23	257	10462
24	260	10146
25	262	9851
26	265	9574
27	268	9320
28	271	9090
29	274	8870
30	277	8661
31	280	8478
32	283	8299
33	286	8128
34	289	7968
35	291	7812
36	294	7670
37	297	7532
38	300	7401
39	303	7278
40	305	7156
41	308	7044
42	311	6937
43	314	6832
44	317	6733
45	320	6639
46	323	6549
47	325	6462
48	328	6381
49	331	6300
50	334	6222
51	337	6148
52	340	6076
53	343	6011
54	345	5944
55	348	5881
56	351	5816
57	354	5756
58	357	5699
59	360	5643
60	363	5588
61	366	5537
62	368	5483
63	371	5436
64	374	5388
65	377	5341
66	380	5297
67	383	5256
68	386	5214
69	389	5170
70	392	5130
71	394	5090
72	397	5050
73	400	5012
74	403	4974
75	406	4938
76	409	4904
77	411	4869
78	414	4836
79	417	4804
80	420	4774
81	423	4744
82	426	4714
83	429	4684
84	432	4655
85	435	4626
86	438	4597
87	441	4571
88	443	4544
89	446	4518
90	449	4493
91	452	4468
92	455	4442
93	458	4419
94	461	4394
95	464	4369
96	466	4347
97	469	4323
98	472	4301
99	475	4278
100	478	4257
101	481	4235
102	484	4215
103	487	4195
104	489	4174
105	492	4155
106	495	4135
107	498	4114
108	501	4095
109	503	4076
110	506	4058
111	509	4040
112	512	4021
113	515	4003
114	517	3986
115	520	3969
116	524	3954
117	526	3938
118	529	3921
119	532	3905
120	535	3889
121	538	3874
122	541	3858
123	544	3843
124	546	3827
125	549	3811
126	552	3797
127	555	3783
128	558	3768
129	560	3754
130	563	3738
131	566	3726
132	569	3712
133	572	3699
134	575	3686
135	577	3671
136	580	3659
137	583	3646
138	586	3633
139	589	3619
140	592	3607
141	594	3595
142	597	3583
143	600	3571
144	603	3560
145	606	3548
146	609	3536
147	612	3526
148	615	3517
149	618	3505
150	621	3493
151	624	3482
152	627	3471
153	629	3460
154	632	3449
155	635	3438
156	638	3428
157	641	3417
158	644	3407
159	647	3397
160	648	3380
161	651	3370
162	654	3360
163	657	3350
164	660	3340
165	662	3330
166	665	3320
167	668	3310
168	671	3301
169	674	3291
170	677	3282
171	680	3273
172	682	3264
173	685	3255
174	688	3246
175	691	3237
176	694	3227
177	697	3219
178	699	3210
179	702	3201
180	705	3192
181	708	3183
182	711	3176
183	714	3167
184	717	3159
185	720	3152
186	723	3143
187	725	3135
188	728	3127
189	731	3119
190	734	3111
191	737	3103
192	740	3094
193	743	3087
194	746	3079
195	749	3073
196	751	3064
197	754	3057
198	757	3049
199	760	3042
200	763	3035
201	766	3028
202	769	3020
203	772	3012
204	775	3005
205	778	2998
206	780	2991
207	783	2983
208	786	2976
209	789	2969
210	792	2962
211	795	2955
212	798	2948
213	800	2941
214	803	2934
215	806	2927
216	809	2920
217	812	2914
218	815	2907
219	818	2901
220	821	2894
221	824	2890
222	828	2885
223	831	2879
224	834	2873
225	837	2868
226	840	2861
227	841	2850
228	844	2844
229	847	2836
230	849	2829
231	853	2823
232	855	2817
233	858	2811
234	861	2804
235	864	2798
236	867	2792
237	870	2786
238	872	2779
239	875	2773
240	878	2767
241	881	2760
242	884	2754
243	887	2748
244	889	2741
245	892	2736
246	895	2730
247	898	2723
248	901	2717
249	903	2711
250	906	2705
251	909	2699
252	912	2693
253	914	2687
254	917	2681
255	920	2675
256	923	2669
257	926	2664
258	929	2658
259	932	2652
260	934	2646
261	937	2640
262	940	2634
263	943	2630
264	946	2624
265	949	2618
266	952	2613
267	954	2607
268	957	2602
269	960	2597
270	963	2591
271	966	2587
272	969	2581
273	972	2575
274	974	2570
275	977	2564
276	980	2559
277	983	2554
278	986	2549
279	989	2543
280	992	2538
281	995	2534
282	998	2529
283	1001	2524
284	1004	2519
285	1006	2513
286	1009	2508
287	1012	2503
288	1015	2499
289	1018	2494
290	1021	2489
291	1024	2483
292	1027	2478
293	1030	2473
294	1033	2468
295	1036	2464
296	1038	2459
297	1041	2454
298	1044	2448
299	1047	2444
300	1050	2439
301	1053	2434
302	1056	2430
303	1059	2425
304	1062	2420
305	1065	2415
306	1067	2410
307	1070	2405
308	1073	2400
309	1076	2396
310	1079	2391
311	1082	2386
312	1085	2382
313	1088	2377
314	1091	2372
315	1094	2368
316	1096	2363
317	1099	2358
